timestamp,X,CS,U
370.0,"[3.9292924577442805, 45.25012657074457, -135.26627123634597, 3.091854789398795, -0.49161911314898177, 0.23889609300828785]","[-125.54428817828196, 3.1306956720738057]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.583012195128666, 4.562121735940394e-08, 0.8499059385254222, 0.6124999595483046]"
370.5,"[3.9292868890463946, 45.25011773787167, -135.14682318984183, 3.0921315857260185, -0.489780195506836, 0.23633680659900794]","[-125.69906947759443, 3.130680817866174]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.570512195128666, 4.562121735940394e-08, 0.8624059385254222, 0.5999999595483047]"
371.0,"[3.9292812966296116, 45.2501089199244, -135.02865478654235, 3.0924062897630042, -0.4879576904552021, 0.23353391797697323]","[-125.85255020550446, 3.130667559585362]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.5580121951286661, 4.562121735940394e-08, 0.8749059385254222, 0.5874999595483046]"
371.5,"[3.929275680775537, 45.250100116807, -134.91188782755384, 3.0926789190444017, -0.4861604964237203, 0.23048888023343708]","[-126.00444892945258, 3.130657267186015]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.545512195128666, 4.562121735940394e-08, 0.8874059385254223, 0.5749999595483046]"
372.0,"[3.929270041805747, 45.25009132839019, -134.79664338743711, 3.092949492400545, -0.48439762158807725, 0.2272030015827343]","[-126.1544829756751, 3.1306513089676686]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.533012195128666, 4.562121735940394e-08, 0.8999059385254222, 0.5624999595483046]"
372.5,"[3.929264380081676, 45.25008255451059, -134.68304188664575, 3.0932180299600476, -0.4826781837861691, 0.22367745106059678]","[-126.30236835747331, 3.1306510520933233]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.520512195128666, 4.562121735940394e-08, 0.9124059385254222, 0.5499999595483046]"
373.0,"[3.9292586960044997, 45.25007379497023, -134.57120316111545, 3.0934845531526767, -0.48101141042242695, 0.21991326404872]","[-126.44781970813686, 3.1306578633812396]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.508012195128666, 4.562121735940394e-08, 0.9249059385254222, 0.5374999595483045]"
373.5,"[3.9292529900150686, 45.25006504953599, -134.46124652909108, 3.0937490847125226, -0.4794066383609387, 0.2159113476303619]","[-126.5905502183877, 3.1306731103812337]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.495512195128666, 4.562121735940394e-08, 0.9374059385254222, 0.5249999595483046]"
374.0,"[3.929247262593816, 45.250056317939226, -134.3532908552759, 3.0940116486814593, -0.4778733138079921, 0.2116724857816192]","[-126.73027157833047, 3.1306981627468327]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.483012195128666, 4.562121735940394e-08, 0.9499059385254223, 0.5124999595483045]"
374.5,"[3.9292415142607293, 45.25004759987512, -134.2474546123851, 3.0942722704129073, -0.4764209921846514, 0.20719734440289575]","[-126.86669392374873, 3.1307343939147017]","[1.000000012309545, 0.9989445710753286, 0.5168459737299212, 0.47051219512866604, 4.562121735940394e-08, 0.9624059385254222, 0.4999999595483045]"
375.0,"[3.9292357455753164, 45.25003889500228, -134.14385594018364, 3.0945333480708324, -0.4750577275027681, 0.2025517945876105]","[-126.9995257868805, 3.1307852827657423]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.45801219512866603, 0.012500045621217332, 0.9749059385254222, 0.48749995954830455]"
375.5,"[3.9292299571272693, 45.25003020294004, -134.04258004288982, 3.094792530186241, -0.47376577473336495, 0.19761326347833924]","[-127.12850976872693, 3.1308457027144057]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.445512195128666, 0.025000045621217305, 0.9874059385254222, 0.4749999595483046]"
376.0,"[3.9292241494781805, 45.25002152334123, -133.94377341115066, 3.0950498416147902, -0.47255861147691286, 0.19238981941536784]","[-127.25387488297129, 3.1309176232153932]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.433012195128666, 0.037500045621217275, 0.9999059385254222, 0.46249995954830453]"
376.5,"[3.9292183232428375, 45.25001285581011, -133.84757850144297, 3.0953053090561076, -0.471434187501223, 0.18691130736989325]","[-127.3752307532367, 3.1310006626342104]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.420512195128666, 0.05000004562121725, 0.9999999973157015, 0.4499999595483046]"
377.0,"[3.929212479050072, 45.25000419993751, -133.75412284775803, 3.095558958912058, -0.4703977321928628, 0.1811955950238809]","[-127.49247194932408, 3.1310955422268565]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.40801219512866604, 0.06250004562121722, 0.9999999973157015, 0.43749995954830456]"
377.5,"[3.9292066175583984, 45.249995555285814, -133.6635250502461, 3.0958108182626773, -0.46945435606120955, 0.17525969646766573]","[-127.60537630263396, 3.1312029660973866]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.39551219512866603, 0.07500004562121719, 0.9999999973157015, 0.4249999595483045]"
378.0,"[3.9292007394542634, 45.24998692139015, -133.57589520201225, 3.096060914832932, -0.46860896578550776, 0.16911992178479998]","[-127.71373275814011, 3.1313236101001594]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.383012195128666, 0.08750004562121716, 0.9999999973157015, 0.41249995954830454]"
378.5,"[3.9291948454501893, 45.24997829775955, -133.49133524111986, 3.0963092769491274, -0.4679023083855078, 0.16286131006134366]","[-127.81734249204945, 3.1314635090822494]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.38020339626836985, 0.10000004562121714, 0.9999999973157015, 0.3999999595483046]"
379.0,"[3.9291889363712924, 45.24996968379643, -133.40990458608917, 3.096555938417296, -0.46734512879780893, 0.15650988927645088]","[-127.91536647656457, 3.131624203054776]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.38020339626836985, 0.11250004562121711, 0.9999999973157015, 0.3874999595483045]"
379.5,"[3.929183013074963, 45.24996107886868, -133.33164964145098, 3.096800934334891, -0.46693711910467495, 0.1500699895051264]","[-128.00755108899244, 3.131805597430215]","[1.0000000123095463, 0.9990163711606945, 0.5162646261524778, 0.38020339626836985, 0.12500004562121708, 0.9999999973157015, 0.37499995954830445]"
380.0,"[3.9291770764218654, 45.24995248233608, -133.25661464669838, 3.0970455731336086, -0.46673854610226473, 0.14370064241212516]","[-128.09385579460042, 3.1320179042406733]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.3927033962683698, 0.13750004562121707, 0.9999999955085276, 0.3624999595483045]"
380.5,"[3.9291711274206587, 45.24994389340959, -133.18476432549232, 3.0972886170069347, -0.46672964900032554, 0.1373278487973924]","[-128.17315004376152, 3.132256908731577]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.40520339626836976, 0.15000004562121708, 0.9999999955085276, 0.3499999595483045]"
381.0,"[3.929165167026217, 45.24993531134786, -133.11610040109363, 3.097530105327195, -0.4669079784123685, 0.1309504800627955]","[-128.24582381559975, 3.1325222766507865]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.4177033962683698, 0.1625000456212171, 0.9999999955085276, 0.3374999595483045]"
381.5,"[3.929159196184878, 45.249926735411165, -133.05062516106224, 3.0977700768619707, -0.46727095134621816, 0.12456713058152304]","[-128.3119205599214, 3.1328136859815685]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.4302033962683698, 0.1750000456212171, 0.9999999955085276, 0.32499995954830446]"
382.0,"[3.9291532158343982, 45.24991816486202, -132.9883415957715, 3.0980085697642843, -0.4678158523816998, 0.11817612376134899]","[-128.3714857330936, 3.133130825559725]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.4427033962683698, 0.1875000456212171, 0.9999999955085276, 0.31249995954830445]"
382.5,"[3.929147226903979, 45.24990959896557, -132.9292535338908, 3.0982456215630934, -0.46853983482930167, 0.11177551794242231]","[-128.42456662957662, 3.133473393593242]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.4552033962683698, 0.20000004562121712, 0.9999999955085276, 0.29999995954830444]"
383.0,"[3.9291412303142694, 45.24990103699019, -132.87336577491962, 3.0984812691540915, -0.46943992187023054, 0.1053631121343644]","[-128.47121221665947, 3.133841096090272]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.46770339626836976, 0.21250004562121713, 0.9999999955085276, 0.28749995954830443]"
383.5,"[3.929135226977418, 45.249892478207805, -132.82068421885242, 3.098715548790801, -0.47051300767826987, 0.09893645159727896]","[-128.51147297225285, 3.13423364520138]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.4802033962683698, 0.22500004562121714, 0.9999999955085276, 0.2749999595483044]"
384.0,"[3.9291292177971373, 45.249883921894416, -132.77121599305377, 3.0989484960759555, -0.471755858523837, 0.09249283327110437]","[-128.545400725631, 3.1346507574820817]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.4927033962683698, 0.23750004562121715, 0.9999999955085276, 0.2624999595483044]"
384.5,"[3.929123203668793, 45.24987536733052, -132.72496957641823, 3.0991801459531607, -0.47316511386062826, 0.0860293110575728]","[-128.57304850117112, 3.1350921520818167]","[1.0000000123095458, 0.999055213088764, 0.5159404945588557, 0.5052033962683697, 0.25000004562121714, 0.9999999955085276, 0.2499999595483044]"
385.0,"[3.929117185479511, 45.249866813801425, -132.68195492088944, 3.0994097120268007, -0.4747261108489439, 0.07949639978762792]","[-128.59447036476305, 3.1355550454947876]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.5177033962683698, 0.26250004562121715, 0.9999999973340874, 0.23749995954830438]"
385.5,"[3.929111164083181, 45.24985826062547, -132.64220672099563, 3.099638054691198, -0.4764465649267172, 0.07293815553579348]","[-128.6099208764446, 3.1360416769106085]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.5302033962683698, 0.27500004562121716, 0.9999999973340874, 0.22499995954830437]"
386.0,"[3.9291051403547046, 45.2498497070961, -132.60573764322774, 3.099865207153769, -0.4783227381545261, 0.06635090019761815]","[-128.6192301808962, 3.1365517601911375]","[1.0000000123095427, 0.999029768367031, 0.5161509088507232, 0.5427033962683698, 0.28750004562121717, 0.9999999973340874, 0.21249995954830436]"
