timestamp,X,CS,U
2495.0,"[51.27663617081053, 4.2241892428237, -62.33449537870521, 1.9888992506505958, -0.06799679231889719, 0.04022175679001557]","[154.30996695109286, 1.9900612535809445]","[0.8477718928482901, 0.4948212218452747, 0.502938388729295, 0.9999999952030613, -4.7969142943519014e-09, 0.9999999951848912, 1.0000000048150874]"
2500.0,"[51.27667642263339, 4.224062014955908, -62.13123431352521, 1.9854682139147992, -0.06657256586859674, 0.04114774211371583]","[154.07883813622954, 1.9865839863928108]","[0.8487619957309158, 0.49493023209512327, 0.5028842055641635, 0.999999995203155, -4.796821035617833e-09, 0.9999999951849965, 1.0000000048149826]"
2505.0,"[51.27671699904003, 4.223935175606867, -61.923865364631546, 1.9837605520599069, -0.06487751590407152, 0.041812062778426105]","[153.8191384910699, 1.9848211556658977]","[0.8493753101423227, 0.494997758007136, 0.5028010757732401, 0.99999999520336, -4.79661619946979e-09, 0.9999999951851875, 1.0000000048147917]"
2510.0,"[51.27675788605305, 4.223808746019594, -61.71350992494119, 1.9822778721317447, -0.06316825797354264, 0.04233591712455135]","[153.56433732336475, 1.9832840923979018]","[0.8376412245922198, 0.49370583668816387, 0.5027812418895045, 0.9999999952034935, -4.796482655500256e-09, 0.9999999951853049, 1.0000000048146744]"
2515.0,"[51.27679901156407, 4.2236828998957705, -61.50076195881218, 1.97324321574574, -0.062276464229533646, 0.04280947623508762]","[153.32758740202524, 1.974225708090015]","[0.803356355884853, 0.48993107687269827, 0.5028849718292404, 0.9999999952010187, -4.7989580563369475e-09, 0.9999999951830449, 1.0000000048169349]"
2520.0,"[51.27684009034095, 4.223558307359077, -61.28505588196142, 1.9523792743064348, -0.061829931335480856, 0.04366936104552493]","[153.12510086612951, 1.9533580755074762]","[0.7688738989486251, 0.4861345625331689, 0.5030395243502523, 0.9999999951935865, -4.806392347614771e-09, 0.9999999951764447, 1.0000000048235367]"
2525.0,"[51.276881048064716, 4.223435317931274, -61.06405525116062, 1.9284934446205375, -0.0601062355350368, 0.04494662876019403]","[152.8736228738239, 1.929429896496522]","[0.7323926359585998, 0.482117979916366, 0.5031411794765482, 0.9999999951861562, -4.813824180541612e-09, 0.9999999951697888, 1.000000004830194]"
2530.0,"[51.2769217828065, 4.223314308482138, -60.8354350773487, 1.898726829784793, -0.05790890271877509, 0.04679652177726074]","[152.60958649013443, 1.8996097007434718]","[0.6944652842734114, 0.47794218306983033, 0.5032424144358153, 0.9999999951783073, -4.821675043358604e-09, 0.9999999951627317, 1.0000000048372528]"
2535.0,"[51.27696218623009, 4.223195651360976, -60.59603707249815, 1.862808916141616, -0.05544932346474864, 0.0493556175296803]","[152.33024575621556, 1.8636339998855462]","[0.6548596102372561, 0.47358160307440256, 0.5033478026587035, 0.999999995170185, -4.829799655452811e-09, 0.999999995155377, 1.0000000048446094]"
2540.0,"[51.27700204752826, 4.223079892895162, -60.341758722535914, 1.812983446512347, -0.05428595851358646, 0.05295922728224211]","[152.0840136868688, 1.8137960035846168]","[0.61512120204221, 0.46920640882285386, 0.5035403899036588, 0.9999999951616102, -4.838377079937776e-09, 0.999999995147683, 1.0000000048523057]"
2545.0,"[51.277041131984745, 4.2229676191072, -60.066103711053394, 1.7623668097956262, -0.052003681879928834, 0.058019195635503534]","[151.78563195984918, 1.7631339016643863]","[0.5727663280178471, 0.4645431418797294, 0.5037132382537614, 0.999999995153019, -4.84697012684673e-09, 0.9999999951399494, 1.000000004860041]"
